Date,Open,High,Low,Close,Adj Close,Volume,Returns,Volume_Change,Price_Range,Price_Change,Log_Volume,MA_5,MA_20,Volume_MA_5,Volume_MA_20,Volatility_5,Volatility_20,Ticker,ArticleCount,Tone,Polarity,WordCount,ArticleCount_MA_3,ArticleCount_Sum_3,ArticleCount_Max_3,ArticleCount_Std_3,Tone_MA_3,Tone_Min_3,Tone_Max_3,Tone_Std_3,Polarity_MA_3,WordCount_MA_3,WordCount_Sum_3,ArticleCount_MA_7,ArticleCount_Sum_7,ArticleCount_Max_7,ArticleCount_Std_7,Tone_MA_7,Tone_Min_7,Tone_Max_7,Tone_Std_7,Polarity_MA_7,WordCount_MA_7,WordCount_Sum_7,ArticleCount_MA_14,ArticleCount_Sum_14,ArticleCount_Max_14,ArticleCount_Std_14,Tone_MA_14,Tone_Min_14,Tone_Max_14,Tone_Std_14,Polarity_MA_14,WordCount_MA_14,WordCount_Sum_14,ArticleCount_MA_30,ArticleCount_Sum_30,ArticleCount_Max_30,ArticleCount_Std_30,Tone_MA_30,Tone_Min_30,Tone_Max_30,Tone_Std_30,Polarity_MA_30,WordCount_MA_30,WordCount_Sum_30,High_Coverage,Negative_Tone,Very_Negative_Tone,High_Polarity,Days_Since_Coverage,ArticleCount_Lag_1,ArticleCount_Lag_2,ArticleCount_Lag_3,ArticleCount_Lag_5,ArticleCount_Lag_7,Tone_Lag_1,Tone_Lag_2,Tone_Lag_3,Tone_Lag_5,Tone_Lag_7,Polarity_Lag_1,Polarity_Lag_2,Polarity_Lag_3,Polarity_Lag_5,Polarity_Lag_7,WordCount_Lag_1,WordCount_Lag_2,WordCount_Lag_3,WordCount_Lag_5,WordCount_Lag_7,High_Coverage_Lag_1,High_Coverage_Lag_2,High_Coverage_Lag_3,High_Coverage_Lag_5,High_Coverage_Lag_7,Negative_Tone_Lag_1,Negative_Tone_Lag_2,Negative_Tone_Lag_3,Negative_Tone_Lag_5,Negative_Tone_Lag_7,Very_Negative_Tone_Lag_1,Very_Negative_Tone_Lag_2,Very_Negative_Tone_Lag_3,Very_Negative_Tone_Lag_5,Very_Negative_Tone_Lag_7,Returns_Lag_1,Returns_Lag_2,Returns_Lag_3,Returns_Lag_5,Returns_Lag_7,Volume_Change_Lag_1,Volume_Change_Lag_2,Volume_Change_Lag_3,Volume_Change_Lag_5,Volume_Change_Lag_7,Volatility_5_Lag_1,Volatility_5_Lag_2,Volatility_5_Lag_3,Volatility_5_Lag_5,Volatility_5_Lag_7,Price_Range_Lag_1,Price_Range_Lag_2,Price_Range_Lag_3,Price_Range_Lag_5,Price_Range_Lag_7,Volume_Spike,Price_Drop,Major_Event,Pre_Event_Window,Event_Day,Post_Event_Window
2013-10-01,41.369999,41.57,41.09,41.490002,37.026699,12771100,0.004114278799612681,-0.3726987838182997,0.011569052226124185,0.002900725233278274,16.36269544198992,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.015488843175217716,,,,,0,0,0,0,0,0
2013-10-02,41.200001,41.259998,41.0,41.259998,36.821445,17782400,-0.0055436006004528915,0.3923937640453836,0.00630145449837402,0.0014562378287321582,16.693719818303116,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.004114278799612681,,,,,-0.3726987838182997,,,,,,,,,,0.011569052226124185,0.015488843175217716,,,,0,0,0,0,0,0
2013-10-03,41.220001,41.220001,40.639999,41.0,36.589417,19049600,-0.006301454498374048,0.0712614720172755,0.014146390243902447,-0.005337239074788072,16.762556714435746,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-0.0055436006004528915,0.004114278799612681,,,,0.3923937640453836,-0.3726987838182997,,,,,,,,,0.00630145449837402,0.011569052226124185,0.015488843175217716,,,0,0,0,0,0,0
2013-10-04,41.0,41.299999,40.919998,41.299999,36.85714,12329500,0.007317048780487889,-0.35276856206954477,0.009200992958861816,0.007317048780487797,16.327505403924174,41.2739998,,16458280.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-0.006301454498374048,-0.0055436006004528915,0.004114278799612681,,,0.0712614720172755,0.3923937640453836,-0.3726987838182997,,,,,,,,0.014146390243902447,0.00630145449837402,0.011569052226124185,,,0,0,0,0,0,0
2013-10-07,40.790001,40.900002,40.619999,40.619999,36.250286,15290200,-0.016464891439827878,0.24013139218946433,0.006893230105692535,-0.004167737088312321,16.542722723665797,41.1339996,,15444560.0,0.0,0.009421006101328904,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.007317048780487889,-0.006301454498374048,-0.0055436006004528915,,,-0.35276856206954477,0.0712614720172755,0.3923937640453836,,,,,,,,0.009200992958861816,0.014146390243902447,0.00630145449837402,0.015488843175217716,,0,1,0,0,0,0
2013-10-08,40.549999,40.77,40.209999,40.240002,35.911171,19256200,-0.009354923913218238,0.2593818262678056,0.013916525153254212,-0.007644809066456518,16.77334369669551,40.883999599999996,,16741580.0,0.0,0.008636958879956537,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-0.016464891439827878,0.007317048780487889,-0.006301454498374048,0.004114278799612681,,0.24013139218946433,-0.35276856206954477,0.0712614720172755,-0.3726987838182997,,0.009421006101328904,,,,,0.006893230105692535,0.009200992958861816,0.014146390243902447,0.011569052226124185,,0,0,0,0,0,0
2013-10-09,40.43,40.549999,40.07,40.360001,36.018265,17031000,0.0029820823567554555,-0.11555758664741744,0.011892938258351367,-0.0017313628493693498,16.65054582953743,40.7040002,,16591300.0,0.0,0.009559111501191611,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009354923913218238,-0.016464891439827878,0.007317048780487889,-0.0055436006004528915,,0.2593818262678056,0.24013139218946433,-0.35276856206954477,0.3923937640453836,,0.008636958879956537,0.009421006101328904,,,,0.013916525153254212,0.006893230105692535,0.009200992958861816,0.00630145449837402,0.015488843175217716,0,0,0,0,0,0
2013-10-10,40.959999,41.470001,40.43,41.439999,36.982079,26580700,0.026759117275542366,0.5607245610944749,0.02509654983341104,0.011718750286102225,17.09569598411455,40.792,,18097520.0,0.0,0.016672051099253744,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029820823567554555,-0.009354923913218238,-0.016464891439827878,-0.006301454498374048,0.004114278799612681,-0.11555758664741744,0.2593818262678056,0.24013139218946433,0.0712614720172755,-0.3726987838182997,0.009559111501191611,0.008636958879956537,0.009421006101328904,,,0.011892938258351367,0.013916525153254212,0.006893230105692535,0.014146390243902447,0.011569052226124185,0,0,0,0,0,0
2013-10-11,40.439999,41.509998,40.299999,41.43,36.97316,46034600,-0.00024128861586125705,0.7318806502462314,0.02920586531498922,0.024480737499523664,17.644903867348177,40.81800019999999,,24838540.0,0.0,0.01643852200985482,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026759117275542366,0.0029820823567554555,-0.009354923913218238,0.007317048780487889,-0.0055436006004528915,0.5607245610944749,-0.11555758664741744,0.2593818262678056,-0.35276856206954477,0.3923937640453836,0.016672051099253744,0.009559111501191611,0.008636958879956537,,,0.02509654983341104,0.011892938258351367,0.013916525153254212,0.009200992958861816,0.00630145449837402,1,0,0,0,0,0
2013-10-14,41.139999,41.900002,41.099998,41.75,37.258732,17183700,0.007723871590634923,-0.6267220742658783,0.019161772455089852,0.014827443238391835,16.65947187623246,41.044000399999994,,25217240.0,0.0,0.013386929535333844,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024128861586125705,0.026759117275542366,0.0029820823567554555,-0.016464891439827878,-0.006301454498374048,0.7318806502462314,0.5607245610944749,-0.11555758664741744,0.24013139218946433,0.0712614720172755,0.01643852200985482,0.016672051099253744,0.009559111501191611,0.009421006101328904,,0.02920586531498922,0.02509654983341104,0.011892938258351367,0.006893230105692535,0.014146390243902447,0,0,0,0,0,0
